
Library     Flags   Function
   [0016] [.D..] ImmGetOpenStatus
   [0017] [.D..] ImmGetProperty
   [0018] [.D..] ImmInstallIMEA
   [0019] [.D..] ImmNotifyIME
   [0020] [.D..] ImmReleaseContext
   [0021] [.D..] ImmSetConversionStatus
   [0022] [.D..] ImmSetHotKey
   [0023] [.D..] ImmSetOpenStatus

[000006] KERNEL32.DLL
   [0000] [.D..] ActivateActCtx
   [0001] [I...] CloseHandle
   [0002] [I...] CompareStringA
   [0003] [I...] CompareStringW
   [0004] [I...] CopyFileW
   [0005] [I...] CreateDirectoryW
   [0006] [I...] CreateEventW
   [0007] [I...] CreateFileMappingW
   [0008] [I...] CreateFileW
   [0009] [I...] CreatePipe
   [0010] [I...] CreateProcessW
   [0011] [I...] CreateThread
   [0012] [.D..] DeactivateActCtx
   [0013] [I...] DeleteCriticalSection
   [0014] [I...] DeleteFileW
   [0015] [I...] DuplicateHandle
   [0016] [I...] EnterCriticalSection
   [0017] [I...] EnumSystemCodePagesW
   [0018] [I...] ExitProcess
   [0019] [I...] ExitThread
   [0020] [I...] ExpandEnvironmentStringsW
   [0021] [I...] FileTimeToLocalFileTime
   [0022] [I...] FileTimeToSystemTime
   [0023] [I...] FindClose
   [0024] [I...] FindFirstFileW
   [0025] [I...] FindNextFileW
   [0026] [I...] FindResourceW
   [0027] [I...] FlushFileBuffers
   [0028] [I...] FormatMessageW
   [0029] [I...] FreeEnvironmentStringsA
   [0030] [I...] FreeEnvironmentStringsW
   [0031] [I...] FreeLibrary
   [0032] [I...] GetACP
   [0033] [I...] GetCPInfo
   [0034] [I...] GetCommandLineA
   [0035] [I...] GetCommandLineW
   [0036] [I...] GetCurrentDirectoryW
   [0037] [I...] GetCurrentProcess
   [0038] [I...] GetCurrentThread
   [0039] [I...] GetCurrentThreadId
   [0040] [I...] GetDateFormatW
   [0041] [I...] GetDiskFreeSpaceW
   [0042] [I...] GetDriveTypeW
   [0043] [I...] GetEnvironmentStrings
   [0044] [I...] GetEnvironmentStringsW
   [0045] [I...] GetEnvironmentVariableA
   [0046] [I...] GetExitCodeProcess
   [0047] [I...] GetFileAttributesW
   [0048] [I...] GetFileSize
   [0049] [I...] GetFileTime
   [0050] [I...] GetFileType
   [0051] [I...] GetFullPathNameW
   [0052] [I...] GetLastError
   [0053] [I...] GetLocaleInfoW
   [0054] [I...] GetModuleFileNameA
   [0055] [I...] GetModuleFileNameW
   [0056] [I...] GetModuleHandleA
   [0057] [I...] GetModuleHandleW
   [0058] [I...] GetOEMCP
   [0059] [I...] GetPrivateProfileIntW
   [0060] [I...] GetPrivateProfileStringW
   [0061] [I...] GetProcAddress
   [0062] [I...] GetProcessVersion
   [0063] [I...] GetProfileIntW
   [0064] [I...] GetShortPathNameW
   [0065] [I...] GetStartupInfoA
   [0066] [I...] GetStartupInfoW
   [0067] [I...] GetStdHandle
   [0068] [I...] GetStringTypeA
   [0069] [I...] GetStringTypeExW
   [0070] [I...] GetStringTypeW
   [0071] [I...] GetSystemTime
   [0072] [I...] GetTempFileNameW
   [0073] [I...] GetTempPathW
   [0074] [I...] GetThreadLocale
   [0075] [I...] GetTickCount
   [0076] [I...] GetTimeFormatW
   [0077] [I...] GetTimeZoneInformation
   [0078] [.D..] GetUserDefaultUILanguage
   [0079] [I...] GetVersion
   [0080] [I...] GetVersionExA
   [0081] [I...] GetVersionExW
   [0082] [I...] GetVolumeInformationW
   [0083] [I...] GlobalAddAtomW
   [0084] [I...] GlobalAlloc
   [0085] [I...] GlobalDeleteAtom
   [0086] [I...] GlobalFindAtomW
   [0087] [I...] GlobalFlags
   [0088] [I...] GlobalFree
   [0089] [I...] GlobalGetAtomNameW
   [0090] [I...] GlobalHandle
   [0091] [I...] GlobalLock
   [0092] [I...] GlobalMemoryStatus
   [0093] [I...] GlobalReAlloc
   [0094] [I...] GlobalSize
   [0095] [I...] GlobalUnlock
   [0096] [I...] HeapAlloc
   [0097] [I...] HeapCreate
   [0098] [I...] HeapDestroy
   [0099] [I...] HeapFree
   [0100] [I...] HeapReAlloc
   [0101] [I...] HeapSize
   [0102] [I...] InitializeCriticalSection
   [0103] [I...] InterlockedDecrement
   [0104] [I...] InterlockedExchange
   [0105] [I...] InterlockedIncrement
   [0106] [I...] IsBadCodePtr
   [0107] [I...] IsBadReadPtr
   [0108] [I...] IsBadWritePtr
   [0109] [I...] IsDBCSLeadByte
   [0110] [.D..] IsProcessorFeaturePresent
   [0111] [I...] IsValidCodePage
   [0112] [I...] LCMapStringA
   [0113] [I...] LCMapStringW
   [0114] [I...] LeaveCriticalSection
   [0115] [I...] LoadLibraryA
   [0116] [I...] LoadLibraryW
   [0117] [I...] LoadResource
   [0118] [I...] LocalAlloc
   [0119] [I...] LocalFileTimeToFileTime
   [0120] [I...] LocalFree
   [0121] [I...] LocalReAlloc
   [0122] [I...] LockFile
   [0123] [I...] LockResource
   [0124] [I...] MapViewOfFile
   [0125] [I...] MoveFileW
   [0126] [I...] MulDiv
   [0127] [I...] MultiByteToWideChar
   [0128] [I...] OpenFileMappingW
   [0129] [I...] RaiseException
   [0130] [I...] ReadFile
   [0131] [I...] ResumeThread
   [0132] [I...] RtlUnwind
   [0133] [I...] SearchPathW
   [0134] [I...] SetConsoleCtrlHandler
   [0135] [I...] SetCurrentDirectoryW
   [0136] [I...] SetEndOfFile
   [0137] [I...] SetEnvironmentVariableA
   [0138] [I...] SetErrorMode
   [0139] [I...] SetEvent
   [0140] [I...] SetFilePointer
   [0141] [I...] SetFileTime
   [0142] [I...] SetHandleCount
   [0143] [I...] SetLastError
   [0144] [I...] SetStdHandle
   [0145] [I...] SetThreadPriority
   [0146] [I...] SetUnhandledExceptionFilter
   [0147] [I...] Sleep
   [0148] [I...] SuspendThread
   [0149] [I...] SystemTimeToFileTime
   [0150] [I...] TerminateProcess
   [0151] [I...] TlsAlloc
   [0152] [I...] TlsFree
   [0153] [I...] TlsGetValue
   [0154] [I...] TlsSetValue
   [0155] [I...] UnhandledExceptionFilter
   [0156] [I...] UnlockFile
   [0157] [I...] UnmapViewOfFile
   [0158] [I...] VirtualAlloc
   [0159] [I...] VirtualFree
   [0160] [I...] WaitForSingleObject
   [0161] [I...] WideCharToMultiByte
   [0162] [I...] WriteFile
   [0163] [I...] WritePrivateProfileStringW
   [0164] [I...] lstrcatW
   [0165] [I...] lstrcmpA
   [0166] [I...] lstrcmpW
   [0167] [I...] lstrcmpiA
   [0168] [I...] lstrcmpiW
   [0169] [I...] lstrcpyW
   [0170] [I...] lstrcpynW
   [0171] [I...] lstrlenA
   [0172] [I...] lstrlenW

[000007] MSCTF.DLL
   [0000] [.D..] TF_DllDetachInOther

[000008] MSCTFIME.IME
   [0000] [.D..] CtfImeCreateInputContext
   [0001] [.D..] CtfImeCreateThreadMgr
   [0002] [.D..] CtfImeDestroyInputContext
   [0003] [.D..] CtfImeDestroyThreadMgr
   [0004] [.D..] CtfImeDispatchDefImeMessage
   [0005] [.D..] CtfImeEscapeEx
   [0006] [.D..] CtfImeGetGuidAtom
   [0007] [.D..] CtfImeInquireExW
   [0008] [.D..] CtfImeIsGuidMapEnable
   [0009] [.D..] CtfImeIsIME
   [0010] [.D..] CtfImeProcessCicHotkey
   [0011] [.D..] CtfImeSelectEx
   [0012] [.D..] CtfImeSetActiveContextAlways
   [0013] [.D..] ImeConfigure
   [0014] [.D..] ImeConversionList
   [0015] [.D..] ImeDestroy
   [0016] [.D..] ImeEnumRegisterWord
   [0017] [.D..] ImeEscape
   [0018] [.D.F] ImeGetImeMenuItems
   [0019] [.D..] ImeGetRegisterWordStyle
   [0020] [.D..] ImeInquire
   [0021] [.D..] ImeProcessKey
   [0022] [.D..] ImeRegisterWord
   [0023] [.D..] ImeSelect
   [0024] [.D..] ImeSetActiveContext
   [0025] [.D..] ImeSetCompositionString
   [0026] [.D..] ImeToAsciiEx
   [0027] [.D..] ImeUnregisterWord
   [0028] [.D..] NotifyIME

[000009] NTDLL.DLL
   [0000] [.D..] NtQueryInformationProcess
   [0001] [.D..] RtlDllShutdownInProgress

[000010] OLE32.DLL
   [0000] [I...] CLSIDFromProgID
   [0001] [I...] CLSIDFromString
   [0002] [.D..] CoCreateInstance
   [0003] [I...] CoFreeUnusedLibraries
   [0004] [ID..] CoGetClassObject
   [0005] [.D..] CoGetMalloc
   [0006] [.D..] CoGetMarshalSizeMax
   [0007] [.D..] CoGetPSClsid
   [0008] [I...] CoLockObjectExternal
   [0009] [.D..] CoMarshalInterface
   [0010] [I...] CoRegisterMessageFilter
   [0011] [.D..] CoReleaseMarshalData
   [0012] [I...] CoRevokeClassObject
   [0013] [ID..] CoTaskMemAlloc
   [0014] [ID..] CoTaskMemFree
   [0015] [.D..] CoUnmarshalInterface
   [0016] [.D..] CreateBindCtx
   [0017] [I...] CreateILockBytesOnHGlobal
   [0018] [I...] CreateStreamOnHGlobal
   [0019] [.D..] DcomChannelSetHResult
   [0020] [I...] DoDragDrop
   [0021] [I...] OleDuplicateData
   [0022] [I...] OleFlushClipboard
   [0023] [I...] OleGetClipboard
   [0024] [I...] OleInitialize
   [0025] [I...] OleIsCurrentClipboard
   [0026] [I...] OleUninitialize
   [0027] [I...] RegisterDragDrop
   [0028] [I...] ReleaseStgMedium
   [0029] [I...] RevokeDragDrop
   [0030] [I...] StgCreateDocfileOnILockBytes
   [0031] [I...] StgOpenStorageOnILockBytes
   [0032] [.D..] StringFromIID

[000011] OLEDLG.DLL
   [0000] [I...] OleUIBusyW

[000012] SETUPAPI.DLL
   [0000] [.D..] CM_Get_Device_Interface_List_ExW
   [0001] [.D..] CM_Get_Device_Interface_List_Size_ExW

[000013] SHELL32.DLL
   [0000] [I...] DragAcceptFiles
   [0001] [I...] DragFinish
   [0002] [I...] DragQueryFileW
   [0003] [I...] ExtractIconW
   [0004] [I...] SHBrowseForFolderW
   [0005] [I...] SHChangeNotify
   [0006] [.DO.] SHCoCreateInstance
   [0007] [I...] SHFileOperationW
   [0008] [I...] SHGetDesktopFolder
   [0009] [I...] SHGetFileInfoW
   [0010] [I...] SHGetMalloc
   [0011] [I...] SHGetPathFromIDListW
   [0012] [I...] SHGetSpecialFolderLocation
   [0013] [I...] ShellExecuteExW
   [0014] [I...] ShellExecuteW

[000014] USER32.DLL
   [0000] [I...] AdjustWindowRectEx
   [0001] [I...] AppendMenuW
   [0002] [I...] BeginDeferWindowPos
   [0003] [I...] BeginPaint
   [0004] [I...] BringWindowToTop
   [0005] [I...] CallNextHookEx
   [0006] [I...] CallWindowProcW
   [0007] [I...] ChangeClipboardChain
   [0008] [I...] CharLowerW
   [0009] [I...] CharNextW
   [0010] [I...] CharUpperW
   [0011] [I...] CheckMenuItem
   [0012] [I...] ClientToScreen
   [0013] [I...] CloseClipboard
   [0014] [I...] CopyAcceleratorTableW
   [0015] [I...] CopyRect
   [0016] [I...] CreateAcceleratorTableW
   [0017] [I...] CreateCaret
   [0018] [I...] CreateDialogIndirectParamW
   [0019] [I...] CreatePopupMenu
   [0020] [I...] CreateWindowExW
   [0021] [I...] DdeClientTransaction
   [0022] [I...] DdeConnect
   [0023] [I...] DdeCreateStringHandleW
   [0024] [I...] DdeDisconnect
   [0025] [I...] DdeFreeStringHandle
   [0026] [I...] DdeInitializeW
   [0027] [I...] DdeUninitialize
   [0028] [I...] DefFrameProcW
   [0029] [I...] DefMDIChildProcW
   [0030] [I...] DefWindowProcW
   [0031] [I...] DeferWindowPos
   [0032] [I...] DeleteMenu
   [0033] [I...] DestroyAcceleratorTable
   [0034] [I...] DestroyCursor
   [0035] [I...] DestroyIcon
   [0036] [I...] DestroyMenu
